Line No.|Lexeme          |Token-Type      |Attribute
       1|program         |14 REV          |0 NULL 
       1|test            |10 ID           |0x10667bc00
       1|(               |OPEN-PAR        |CATCHALL
       1|input           |10 ID           |0x10667bc60
       1|,               |COMMA           |CATCHALL
       1|output          |10 ID           |0x10667bcc0
       1|)               |CLOSE-PAR       |CATCHALL
       1|;               |TERMINATE       |CATCHALL
       2|var             |14 REV          |0 NULL 
       2|a               |10 ID           |0x106589530
       2|:               |colon           |CATCHALL
       2|integer         |14 REV          |0 NULL 
       2|;               |TERMINATE       |CATCHALL
       3|var             |14 REV          |0x106673508
       3|b               |10 ID           |0x106589558
       3|:               |colon           |CATCHALL
       3|real            |14 REV          |0 NULL 
       3|;               |TERMINATE       |CATCHALL
       4|var             |14 REV          |0x106673508
       4|c               |10 ID           |0x106589b98
       4|:               |colon           |CATCHALL
       4|array           |14 REV          |0 NULL 
       4|[               |OPEN-BRA        |CATCHALL
       4|1               |11 INT          |0 NULL 
       4|..              |D-DOT           |CATCHALL
       4|2               |11 INT          |0 NULL 
       4|]               |CLOSE-BRA       |CATCHALL
       4|of              |14 REV          |0 NULL 
       4|integer         |14 REV          |0x10667bd80
       4|;               |TERMINATE       |CATCHALL
       6|function        |14 REV          |0 NULL 
       6|fun1            |10 ID           |0x10667bf30
       6|(               |OPEN-PAR        |CATCHALL
       6|x               |10 ID           |0x10651ed00
       6|:               |colon           |CATCHALL
       6|integer         |14 REV          |0x10667bd80
       6|;               |TERMINATE       |CATCHALL
       6|y               |10 ID           |0x1066293f0
       6|:               |colon           |CATCHALL
       6|real            |14 REV          |0x10667bde0
       6|;               |TERMINATE       |CATCHALL
       7|z               |10 ID           |0x106629c88
       7|:               |colon           |CATCHALL
       7|array           |14 REV          |0x10667be70
       7|[               |OPEN-BRA        |CATCHALL
       7|1               |11 INT          |0 NULL 
       7|..              |D-DOT           |CATCHALL
       7|2               |11 INT          |0 NULL 
       7|]               |CLOSE-BRA       |CATCHALL
       7|of              |14 REV          |0x106673530
       7|integer         |14 REV          |0x10667bd80
       7|;               |TERMINATE       |CATCHALL
       8|q               |10 ID           |0x10651ea08
       8|:               |colon           |CATCHALL
       8|real            |14 REV          |0x10667bde0
       8|)               |CLOSE-PAR       |CATCHALL
       8|:               |colon           |CATCHALL
       8|integer         |14 REV          |0x10667bd80
       8|;               |TERMINATE       |CATCHALL
       9|var             |14 REV          |0x106673508
       9|d               |10 ID           |0x10651e6c0
       9|:               |colon           |CATCHALL
       9|integer         |14 REV          |0x10667bd80
       9|;               |TERMINATE       |CATCHALL
      10|begin           |14 REV          |0 NULL 
      11|a               |10 ID           |0x106589530
      11|:=              |SINGOP          |CATHCALL
      11|2               |11 INT          |0 NULL 
      11|;               |TERMINATE       |CATCHALL
      12|z               |10 ID           |0x106629c88
      12|[               |OPEN-BRA        |CATCHALL
      12|a               |10 ID           |0x106589530
      12|]               |CLOSE-BRA       |CATCHALL
      12|:=              |SINGOP          |CATHCALL
      12|4               |11 INT          |0 NULL 
      12|;               |TERMINATE       |CATCHALL
      13|c               |10 ID           |0x106589b98
      13|[               |OPEN-BRA        |CATCHALL
      13|2               |11 INT          |0 NULL 
      13|]               |CLOSE-BRA       |CATCHALL
      13|:=              |SINGOP          |CATHCALL
      13|3               |11 INT          |0 NULL 
      13|;               |TERMINATE       |CATCHALL
      14|fun1            |10 ID           |0x10667bf30
      14|:=              |SINGOP          |CATHCALL
      14|c               |10 ID           |0x106589b98
      14|[               |OPEN-BRA        |CATCHALL
      14|1               |11 INT          |0 NULL 
      14|]               |CLOSE-BRA       |CATCHALL
      15|end             |14 REV          |0 NULL 
      15|;               |TERMINATE       |CATCHALL
      17|function        |14 REV          |0x10667bf00
      17|fun2            |10 ID           |0x1066881e0
      17|(               |OPEN-PAR        |CATCHALL
      17|x               |10 ID           |0x10651ed00
      17|:               |colon           |CATCHALL
      17|integer         |14 REV          |0x10667bd80
      17|;               |TERMINATE       |CATCHALL
      17|y               |10 ID           |0x1066293f0
      17|:               |colon           |CATCHALL
      17|integer         |14 REV          |0x10667bd80
      17|)               |CLOSE-PAR       |CATCHALL
      17|:               |colon           |CATCHALL
      17|real            |14 REV          |0x10667bde0
      17|;               |TERMINATE       |CATCHALL
      18|var             |14 REV          |0x106673508
      18|e               |10 ID           |0x10651ec60
      18|:               |colon           |CATCHALL
      18|real            |14 REV          |0x10667bde0
      18|;               |TERMINATE       |CATCHALL
      20|function        |14 REV          |0x10667bf00
      20|fun3            |10 ID           |0x106688210
      20|(               |OPEN-PAR        |CATCHALL
      20|n               |10 ID           |0x10651e788
      20|:               |colon           |CATCHALL
      20|integer         |14 REV          |0x10667bd80
      20|;               |TERMINATE       |CATCHALL
      20|z               |10 ID           |0x106629c88
      20|:               |colon           |CATCHALL
      20|real            |14 REV          |0x10667bde0
      20|)               |CLOSE-PAR       |CATCHALL
      20|:               |colon           |CATCHALL
      20|integer         |14 REV          |0x10667bd80
      20|;               |TERMINATE       |CATCHALL
      21|var             |14 REV          |0x106673508
      21|e               |10 ID           |0x10651ec60
      21|:               |colon           |CATCHALL
      21|integer         |14 REV          |0x10667bd80
      21|;               |TERMINATE       |CATCHALL
      22|begin           |14 REV          |0x106688090
      23|a               |10 ID           |0x106589530
      23|:=              |SINGOP          |CATHCALL
      23|e               |10 ID           |0x10651ec60
      23|;               |TERMINATE       |CATCHALL
      24|e               |10 ID           |0x10651ec60
      24|:=              |SINGOP          |CATHCALL
      24|c               |10 ID           |0x106589b98
      24|[               |OPEN-BRA        |CATCHALL
      24|e               |10 ID           |0x10651ec60
      24|]               |CLOSE-BRA       |CATCHALL
      24|;               |TERMINATE       |CATCHALL
      25|fun3            |10 ID           |0x106688210
      25|:=              |SINGOP          |CATHCALL
      25|3               |11 INT          |0 NULL 
      26|end             |14 REV          |0x106673558
      26|;               |TERMINATE       |CATCHALL
      28|begin           |14 REV          |0x106688090
      29|a               |10 ID           |0x106589530
      29|:=              |SINGOP          |CATHCALL
      29|fun1            |10 ID           |0x10667bf30
      29|(               |OPEN-PAR        |CATCHALL
      29|x               |10 ID           |0x10651ed00
      29|,               |COMMA           |CATCHALL
      29|e               |10 ID           |0x10651ec60
      29|,               |COMMA           |CATCHALL
      29|c               |10 ID           |0x106589b98
      29|,               |COMMA           |CATCHALL
      29|b               |10 ID           |0x106589558
      29|)               |CLOSE-PAR       |CATCHALL
      29|;               |TERMINATE       |CATCHALL
      30|x               |10 ID           |0x10651ed00
      30|:=              |SINGOP          |CATHCALL
      30|fun3            |10 ID           |0x106688210
      30|(               |OPEN-PAR        |CATCHALL
      30|c               |10 ID           |0x106589b98
      30|[               |OPEN-BRA        |CATCHALL
      30|1               |11 INT          |0 NULL 
      30|]               |CLOSE-BRA       |CATCHALL
      30|,               |COMMA           |CATCHALL
      30|e               |10 ID           |0x10651ec60
      30|)               |CLOSE-PAR       |CATCHALL
      30|;               |TERMINATE       |CATCHALL
      31|e               |10 ID           |0x10651ec60
      31|:=              |SINGOP          |CATHCALL
      31|e               |10 ID           |0x10651ec60
      31|+               |ADDOP           |Index 0
      31|4.44            |13 REAL         |0 NULL 
      31|;               |TERMINATE       |CATCHALL
      32|a               |10 ID           |0x106589530
      32|:=              |SINGOP          |CATHCALL
      32|(               |OPEN-PAR        |CATCHALL
      32|a               |10 ID           |0x106589530
      32|mod             |MULOP           |Index 0
      32|y               |10 ID           |0x1066293f0
      32|)               |CLOSE-PAR       |CATCHALL
      32|div             |MULOP           |Index 1
      32|x               |10 ID           |0x10651ed00
      32|;               |TERMINATE       |CATCHALL
      33|while           |14 REV          |0 NULL 
      33|(               |OPEN-PAR        |CATCHALL
      33|(               |OPEN-PAR        |CATCHALL
      33|a               |10 ID           |0x106589530
      33|>=              |RELOP           |Index 0
      33|4               |11 INT          |0 NULL 
      33|)               |CLOSE-PAR       |CATCHALL
      33|and             |MULOP           |Index 2
      33|(               |OPEN-PAR        |CATCHALL
      33|(               |OPEN-PAR        |CATCHALL
      33|b               |10 ID           |0x106589558
      33|<=              |RELOP           |Index 1
      33|e               |10 ID           |0x10651ec60
      33|)               |CLOSE-PAR       |CATCHALL
      34|or              |ADDOP           |Index 1
      34|(               |OPEN-PAR        |CATCHALL
      34|not             |14 REV          |0 NULL 
      34|(               |OPEN-PAR        |CATCHALL
      34|a               |10 ID           |0x106589530
      34|=               |RELOP           |Index 2
      34|c               |10 ID           |0x106589b98
      34|[               |OPEN-BRA        |CATCHALL
      34|a               |10 ID           |0x106589530
      34|]               |CLOSE-BRA       |CATCHALL
      34|)               |CLOSE-PAR       |CATCHALL
      34|)               |CLOSE-PAR       |CATCHALL
      34|)               |CLOSE-PAR       |CATCHALL
      34|)               |CLOSE-PAR       |CATCHALL
      34|do              |14 REV          |0 NULL 
      35|begin           |14 REV          |0x106688090
      36|a               |10 ID           |0x106589530
      36|:=              |SINGOP          |CATHCALL
      36|c               |10 ID           |0x106589b98
      36|[               |OPEN-BRA        |CATCHALL
      36|a               |10 ID           |0x106589530
      36|]               |CLOSE-BRA       |CATCHALL
      36|+               |ADDOP           |Index 0
      36|1               |11 INT          |0 NULL 
      37|end             |14 REV          |0x106673558
      37|;               |TERMINATE       |CATCHALL
      38|fun2            |10 ID           |0x1066881e0
      38|:=              |SINGOP          |CATHCALL
      38|2.5             |13 REAL         |0 NULL 
      39|end             |14 REV          |0x106673558
      39|;               |TERMINATE       |CATCHALL
      41|begin           |14 REV          |0x106688090
      42|b               |10 ID           |0x106589558
      42|:=              |SINGOP          |CATHCALL
      42|fun2            |10 ID           |0x1066881e0
      42|(               |OPEN-PAR        |CATCHALL
      42|c               |10 ID           |0x106589b98
      42|[               |OPEN-BRA        |CATCHALL
      42|4               |11 INT          |0 NULL 
      42|]               |CLOSE-BRA       |CATCHALL
      42|,               |COMMA           |CATCHALL
      42|c               |10 ID           |0x106589b98
      42|[               |OPEN-BRA        |CATCHALL
      42|5               |11 INT          |0 NULL 
      42|]               |CLOSE-BRA       |CATCHALL
      42|)               |CLOSE-PAR       |CATCHALL
      42|;               |TERMINATE       |CATCHALL
      43|b               |10 ID           |0x106589558
      43|:=              |SINGOP          |CATHCALL
